category_name,orders,merchandise_value_brl,freight_value_brl,freight_to_merchandise_pct,late_delivery_pct,late_order_merchandise_value_brl,average_review_score,low_review_order_pct
health_beauty,8800,1255695.13,181970.65,14.49,8.96,112476.28,4.17,12.86
watches_gifts,5604,1198185.21,100107.26,8.35,8.52,104208.59,4.06,15.36
bed_bath_table,9399,1035964.06,204422.07,19.73,8.75,92757.47,3.95,17.23
sports_leisure,7673,979740.92,167503.71,17.1,7.76,85365.79,4.17,12.92
computers_accessories,6654,904322.02,146619.56,16.21,7.7,73859.49,4.03,15.99
furniture_decor,6425,727465.05,172160.99,23.67,8.48,68801.03,4.01,16.78
housewares,5847,626825.8,145209.34,23.17,6.95,46932.07,4.14,13.24
cool_stuff,3616,620770.49,83315.75,13.42,6.83,50256.7,4.17,12.58
auto,3872,586585.73,92020.91,15.69,8.61,71335.51,4.09,14.41
garden_tools,3505,481009.94,98515.26,20.48,7.95,36792.26,4.13,13.44
toys,3855,479808.54,76974.75,16.04,7.52,35489.2,4.19,12.74
baby,2868,410312.2,68007.8,16.57,9.18,41822.75,4.04,16.07
perfumery,3146,396599.31,53981.16,13.61,7.39,29849.12,4.21,13.16
telephony,4183,322342.64,70963.38,22.01,8.53,28702.91,4.0,15.59
office_furniture,1272,273580.7,68492.32,25.04,9.17,24375.64,3.61,22.88
stationery,2299,229593.84,46558.34,20.28,7.77,17862.42,4.25,11.4
computers,181,222963.13,9836.3,4.41,7.34,17506.0,4.14,13.81
pet_shop,1706,213766.63,39410.33,18.44,6.28,12721.67,4.24,11.61
small_appliances,622,187907.26,15824.24,8.42,6.24,9721.01,4.18,13.5
musical_instruments,620,187788.44,18232.88,9.71,8.84,18181.68,4.19,12.74
unknown,1437,178572.55,27951.74,15.65,9.12,17313.17,3.92,20.04
electronics,2543,157079.54,46337.23,29.5,9.81,19488.26,4.09,14.24
consoles_games,1054,154927.27,19712.33,12.72,8.15,16015.8,4.07,14.23
fashion_bags_accessories,1858,151622.75,31312.01,20.65,6.65,9206.92,4.19,11.73
construction_tools_construction,746,144550.19,20629.5,14.27,9.1,12329.62,4.08,14.61
luggage_accessories,1030,140111.38,30392.71,21.69,5.5,7010.24,4.34,9.03
home_appliances_2,231,110649.74,10405.78,9.4,7.05,8046.19,4.15,12.55
home_construction,489,83010.12,13823.5,16.65,8.07,7536.93,3.96,17.79
home_appliances,762,80001.24,14770.06,18.46,6.69,6372.82,4.15,12.6
agro_industry_and_commerce,182,72530.47,5843.6,8.06,5.08,7208.3,4.02,14.84
furniture_living_room,420,68638.56,17918.74,26.11,8.45,7186.32,4.01,15.71
home_confort,397,58572.04,8501.23,14.51,10.46,5503.76,3.86,19.4
fixed_telephony,214,57824.21,4589.84,7.94,5.19,3292.87,3.93,18.22
air_conditioning,251,54723.16,6713.41,12.27,4.07,2921.9,4.0,17.13
audio,349,50668.6,5702.66,11.25,12.93,7730.56,3.83,22.06
kitchen_dining_laundry_garden_furniture,246,46070.37,11835.39,25.69,4.56,3573.9,4.05,13.41
books_general_interest,505,45622.29,9036.4,19.81,6.87,3488.45,4.5,7.33
construction_tools_lights,243,40002.0,7509.18,18.77,9.09,3146.11,4.1,11.93
industry_commerce_and_business,235,39669.61,7884.68,19.88,8.23,2760.3,4.17,11.91
construction_tools_safety,165,39589.02,3831.57,9.68,4.4,933.9,3.85,20.61
food,449,29243.51,7253.27,24.8,9.98,2965.27,4.26,12.03
market_place,279,28288.47,5406.06,19.11,4.74,3117.99,4.02,13.98
costruction_tools_garden,192,25552.18,5229.71,20.47,6.84,1624.78,4.22,13.02
art,201,24167.64,4028.57,16.67,7.69,1296.68,4.02,15.92
fashion_shoes,238,23352.88,4895.53,20.96,6.38,1657.42,4.2,13.03
drinks,296,22378.71,5722.04,25.57,6.62,1218.61,4.16,12.5
signaling_and_security,140,21509.23,6507.82,30.26,5.8,1079.95,4.09,12.14
books_technical,260,19096.06,4283.06,22.43,10.94,1592.98,4.37,10.77
food_drink,225,15119.48,4488.62,29.69,6.33,1904.65,4.4,5.33
fashion_male_clothing,111,10748.82,2144.63,19.95,4.72,559.4,3.7,26.13
fashion_underwear_beach,121,9541.55,1916.19,20.08,12.82,1006.77,3.91,19.01
christmas_supplies,127,8787.83,3221.36,36.66,9.6,1453.17,4.06,12.6
