cohort_month,month_number,active_customers,cohort_customers,retention_pct
2017-01-01,0,752,752,100.0
2017-01-01,1,3,752,0.4
2017-01-01,2,2,752,0.27
2017-01-01,3,1,752,0.13
2017-01-01,4,3,752,0.4
2017-01-01,5,1,752,0.13
2017-01-01,6,3,752,0.4
2017-01-01,7,1,752,0.13
2017-01-01,8,1,752,0.13
2017-01-01,9,0,752,0.0
2017-01-01,10,3,752,0.4
2017-01-01,11,1,752,0.13
2017-01-01,12,5,752,0.66
2017-02-01,0,1690,1690,100.0
2017-02-01,1,4,1690,0.24
2017-02-01,2,5,1690,0.3
2017-02-01,3,2,1690,0.12
2017-02-01,4,7,1690,0.41
2017-02-01,5,2,1690,0.12
2017-02-01,6,4,1690,0.24
2017-02-01,7,3,1690,0.18
2017-02-01,8,2,1690,0.12
2017-02-01,9,3,1690,0.18
2017-02-01,10,2,1690,0.12
2017-02-01,11,5,1690,0.3
2017-02-01,12,2,1690,0.12
2017-03-01,0,2571,2571,100.0
2017-03-01,1,13,2571,0.51
2017-03-01,2,9,2571,0.35
2017-03-01,3,10,2571,0.39
2017-03-01,4,9,2571,0.35
2017-03-01,5,4,2571,0.16
2017-03-01,6,4,2571,0.16
2017-03-01,7,8,2571,0.31
2017-03-01,8,9,2571,0.35
2017-03-01,9,2,2571,0.08
2017-03-01,10,10,2571,0.39
2017-03-01,11,3,2571,0.12
2017-03-01,12,6,2571,0.23
2017-04-01,0,2325,2325,100.0
2017-04-01,1,14,2325,0.6
2017-04-01,2,5,2325,0.22
2017-04-01,3,4,2325,0.17
2017-04-01,4,7,2325,0.3
2017-04-01,5,6,2325,0.26
2017-04-01,6,8,2325,0.34
2017-04-01,7,7,2325,0.3
2017-04-01,8,7,2325,0.3
2017-04-01,9,4,2325,0.17
2017-04-01,10,6,2325,0.26
2017-04-01,11,2,2325,0.09
2017-04-01,12,2,2325,0.09
2017-05-01,0,3541,3541,100.0
2017-05-01,1,17,3541,0.48
2017-05-01,2,17,3541,0.48
2017-05-01,3,14,3541,0.4
2017-05-01,4,11,3541,0.31
2017-05-01,5,12,3541,0.34
2017-05-01,6,15,3541,0.42
2017-05-01,7,5,3541,0.14
2017-05-01,8,9,3541,0.25
2017-05-01,9,9,3541,0.25
2017-05-01,10,9,3541,0.25
2017-05-01,11,12,3541,0.34
2017-05-01,12,9,3541,0.25
2017-06-01,0,3102,3102,100.0
2017-06-01,1,14,3102,0.45
2017-06-01,2,11,3102,0.35
2017-06-01,3,12,3102,0.39
2017-06-01,4,8,3102,0.26
2017-06-01,5,12,3102,0.39
2017-06-01,6,11,3102,0.35
2017-06-01,7,7,3102,0.23
2017-06-01,8,4,3102,0.13
2017-06-01,9,7,3102,0.23
2017-06-01,10,10,3102,0.32
2017-06-01,11,10,3102,0.32
2017-06-01,12,5,3102,0.16
2017-07-01,0,3822,3822,100.0
2017-07-01,1,20,3822,0.52
2017-07-01,2,13,3822,0.34
2017-07-01,3,9,3822,0.24
2017-07-01,4,11,3822,0.29
2017-07-01,5,8,3822,0.21
2017-07-01,6,12,3822,0.31
2017-07-01,7,4,3822,0.1
2017-07-01,8,7,3822,0.18
2017-07-01,9,10,3822,0.26
2017-07-01,10,8,3822,0.21
2017-07-01,11,11,3822,0.29
2017-07-01,12,5,3822,0.13
2017-08-01,0,4130,4130,100.0
2017-08-01,1,28,4130,0.68
2017-08-01,2,14,4130,0.34
2017-08-01,3,11,4130,0.27
2017-08-01,4,15,4130,0.36
2017-08-01,5,22,4130,0.53
2017-08-01,6,12,4130,0.29
2017-08-01,7,11,4130,0.27
2017-08-01,8,6,4130,0.15
2017-08-01,9,6,4130,0.15
2017-08-01,10,10,4130,0.24
2017-08-01,11,8,4130,0.19
2017-08-01,12,5,4130,0.12
2017-09-01,0,4075,4075,100.0
2017-09-01,1,28,4075,0.69
2017-09-01,2,22,4075,0.54
2017-09-01,3,12,4075,0.29
2017-09-01,4,18,4075,0.44
2017-09-01,5,9,4075,0.22
2017-09-01,6,9,4075,0.22
2017-09-01,7,10,4075,0.25
2017-09-01,8,12,4075,0.29
2017-09-01,9,7,4075,0.17
2017-09-01,10,11,4075,0.27
2017-09-01,11,3,4075,0.07
2017-10-01,0,4392,4392,100.0
2017-10-01,1,31,4392,0.71
2017-10-01,2,11,4392,0.25
2017-10-01,3,4,4392,0.09
2017-10-01,4,10,4392,0.23
2017-10-01,5,9,4392,0.2
2017-10-01,6,9,4392,0.2
2017-10-01,7,16,4392,0.36
2017-10-01,8,12,4392,0.27
2017-10-01,9,9,4392,0.2
2017-10-01,10,9,4392,0.2
2017-11-01,0,7188,7188,100.0
2017-11-01,1,40,7188,0.56
2017-11-01,2,28,7188,0.39
2017-11-01,3,12,7188,0.17
2017-11-01,4,14,7188,0.19
2017-11-01,5,13,7188,0.18
2017-11-01,6,8,7188,0.11
2017-11-01,7,14,7188,0.19
2017-11-01,8,9,7188,0.13
2017-11-01,9,4,7188,0.06
2017-12-01,0,5437,5437,100.0
2017-12-01,1,12,5437,0.22
2017-12-01,2,15,5437,0.28
2017-12-01,3,19,5437,0.35
2017-12-01,4,14,5437,0.26
2017-12-01,5,11,5437,0.2
2017-12-01,6,9,5437,0.17
2017-12-01,7,1,5437,0.02
2017-12-01,8,12,5437,0.22
2018-01-01,0,6951,6951,100.0
2018-01-01,1,23,6951,0.33
2018-01-01,2,25,6951,0.36
2018-01-01,3,20,6951,0.29
2018-01-01,4,20,6951,0.29
2018-01-01,5,11,6951,0.16
2018-01-01,6,12,6951,0.17
2018-01-01,7,16,6951,0.23
2018-02-01,0,6356,6356,100.0
2018-02-01,1,23,6356,0.36
2018-02-01,2,25,6356,0.39
2018-02-01,3,19,6356,0.3
2018-02-01,4,17,6356,0.27
2018-02-01,5,14,6356,0.22
2018-02-01,6,13,6356,0.2
2018-03-01,0,6931,6931,100.0
2018-03-01,1,28,6931,0.4
2018-03-01,2,21,6931,0.3
2018-03-01,3,20,6931,0.29
2018-03-01,4,9,6931,0.13
2018-03-01,5,8,6931,0.12
2018-04-01,0,6698,6698,100.0
2018-04-01,1,39,6698,0.58
2018-04-01,2,21,6698,0.31
2018-04-01,3,16,6698,0.24
2018-04-01,4,9,6698,0.13
2018-05-01,0,6586,6586,100.0
2018-05-01,1,34,6586,0.52
2018-05-01,2,17,6586,0.26
2018-05-01,3,13,6586,0.2
2018-06-01,0,5920,5920,100.0
2018-06-01,1,25,5920,0.42
2018-06-01,2,16,5920,0.27
2018-07-01,0,6017,6017,100.0
2018-07-01,1,31,6017,0.52
2018-08-01,0,6209,6209,100.0
