order_month,orders,customers,merchandise_value_brl,average_order_value_brl,merchandise_value_mom_pct,merchandise_value_rank
2017-01-01,787,753,120098.27,152.6,,20
2017-02-01,1718,1693,244959.35,142.58,103.97,19
2017-03-01,2617,2577,368341.32,140.75,50.37,17
2017-04-01,2377,2345,353842.98,148.86,-3.94,18
2017-05-01,3640,3569,503159.19,138.23,42.2,14
2017-06-01,3205,3142,429916.61,134.14,-14.56,16
2017-07-01,3946,3872,492287.3,124.76,14.51,15
2017-08-01,4272,4191,568245.79,133.02,15.43,13
2017-09-01,4227,4154,621415.91,147.01,9.36,12
2017-10-01,4547,4481,660179.62,145.19,6.24,11
2017-11-01,7421,7313,1003862.14,135.27,52.06,1
2017-12-01,5618,5551,742183.79,132.11,-26.07,10
2018-01-01,7187,7088,945456.29,131.55,27.39,5
2018-02-01,6624,6468,837895.43,126.49,-11.38,9
2018-03-01,7168,7077,981051.06,136.87,17.09,4
2018-04-01,6919,6863,993592.98,143.6,1.28,2
2018-05-01,6833,6775,992871.75,145.31,-0.07,3
2018-06-01,6145,6106,863265.53,140.48,-13.05,7
2018-07-01,6233,6172,878044.27,140.87,1.71,6
2018-08-01,6421,6380,848860.1,132.2,-3.32,8
