priority_rank,entity_type,entity_name,orders,merchandise_value_brl,late_delivery_pct,late_order_merchandise_value_brl,average_review_score,low_review_order_pct
1,state,SP,41125,5163867.22,5.89,342232.4,4.2,11.95
2,state,RJ,12697,1811623.42,13.47,238881.29,3.88,20.45
3,category,health_beauty,8800,1255695.13,8.96,112476.28,4.17,12.86
4,category,watches_gifts,5604,1198185.21,8.52,104208.59,4.06,15.36
5,category,bed_bath_table,9399,1035964.06,8.75,92757.47,3.95,17.23
6,state,MG,11496,1573508.2,5.61,91870.72,4.15,12.87
7,category,sports_leisure,7673,979740.92,7.76,85365.79,4.17,12.92
8,category,computers_accessories,6654,904322.02,7.7,73859.49,4.03,15.99
9,state,BA,3344,507108.83,14.04,71874.01,3.86,19.02
10,category,auto,3872,586585.73,8.61,71335.51,4.09,14.41
11,category,furniture_decor,6425,727465.05,8.48,68801.03,4.01,16.78
12,state,RS,5415,742559.78,7.15,53403.81,4.15,12.93
13,category,cool_stuff,3616,620770.49,6.83,50256.7,4.17,12.58
14,category,housewares,5847,626825.8,6.95,46932.07,4.14,13.24
15,state,SC,3599,518578.28,9.76,44460.52,4.08,14.39
16,category,baby,2868,410312.2,9.18,41822.75,4.04,16.07
17,state,ES,2018,273532.13,12.23,37815.73,4.02,15.41
18,category,garden_tools,3505,481009.94,7.95,36792.26,4.13,13.44
19,state,PR,4982,676883.06,5.0,36677.68,4.2,11.98
20,category,toys,3855,479808.54,7.52,35489.2,4.19,12.74
21,state,CE,1323,226264.06,15.32,32882.57,3.87,19.35
22,category,perfumery,3146,396599.31,7.39,29849.12,4.21,13.16
23,state,PE,1643,261739.94,10.8,29252.34,4.01,16.8
24,category,telephony,4183,322342.64,8.53,28702.91,4.0,15.59
25,state,MA,736,119291.62,19.67,24716.11,3.76,21.88
26,category,office_furniture,1272,273580.7,9.17,24375.64,3.61,22.88
27,state,GO,1998,287870.46,8.18,22413.87,4.05,14.46
28,state,PA,969,178821.12,12.37,20413.06,3.84,19.81
29,category,electronics,2543,157079.54,9.81,19488.26,4.09,14.24
30,category,musical_instruments,620,187788.44,8.84,18181.68,4.19,12.74
31,category,stationery,2299,229593.84,7.77,17862.42,4.25,11.4
32,category,unknown,1437,178572.55,9.12,17313.17,3.92,20.04
33,state,DF,2120,300886.45,7.07,16946.47,4.08,14.62
34,category,consoles_games,1054,154927.27,8.15,16015.8,4.07,14.23
35,category,pet_shop,1706,213766.63,6.28,12721.67,4.24,11.61
36,state,MS,708,116754.65,11.55,12515.89,4.14,13.98
37,category,construction_tools_construction,746,144550.19,9.1,12329.62,4.08,14.61
38,state,MT,902,156313.53,6.77,9724.96,4.09,14.08
39,category,small_appliances,622,187907.26,6.24,9721.01,4.18,13.5
40,state,PB,531,114874.1,11.03,9556.74,4.02,16.76
41,category,fashion_bags_accessories,1858,151622.75,6.65,9206.92,4.19,11.73
42,category,luggage_accessories,1030,140111.38,5.5,7010.24,4.34,9.03
43,category,home_appliances,762,80001.24,6.69,6372.82,4.15,12.6
44,category,books_general_interest,505,45622.29,6.87,3488.45,4.5,7.33
