customer_state,orders,unique_customers,merchandise_value_brl,average_order_value_brl,late_delivery_pct,late_order_merchandise_value_brl,average_review_score,low_review_order_pct
SP,41125,39747,5163867.22,125.57,5.89,342232.4,4.2,11.95
RJ,12697,12241,1811623.42,142.68,13.47,238881.29,3.88,20.45
MG,11496,11134,1573508.2,136.87,5.61,91870.72,4.15,12.87
RS,5415,5233,742559.78,137.13,7.15,53403.81,4.15,12.93
PR,4982,4824,676883.06,135.87,5.0,36677.68,4.2,11.98
SC,3599,3501,518578.28,144.09,9.76,44460.52,4.08,14.39
BA,3344,3244,507108.83,151.65,14.04,71874.01,3.86,19.02
DF,2120,2057,300886.45,141.93,7.07,16946.47,4.08,14.62
GO,1998,1934,287870.46,144.08,8.18,22413.87,4.05,14.46
ES,2018,1950,273532.13,135.55,12.23,37815.73,4.02,15.41
PE,1643,1600,261739.94,159.31,10.8,29252.34,4.01,16.8
CE,1323,1301,226264.06,171.02,15.32,32882.57,3.87,19.35
PA,969,944,178821.12,184.54,12.37,20413.06,3.84,19.81
MT,902,872,156313.53,173.3,6.77,9724.96,4.09,14.08
MA,736,715,119291.62,162.08,19.67,24716.11,3.76,21.88
MS,708,687,116754.65,164.91,11.55,12515.89,4.14,13.98
PB,531,516,114874.1,216.34,11.03,9556.74,4.02,16.76
PI,490,478,86660.09,176.86,15.97,12741.42,3.92,18.37
RN,482,471,83034.98,172.27,10.76,8138.67,4.09,14.73
AL,411,399,80314.81,195.41,23.93,20401.0,3.74,24.33
SE,345,338,58920.85,170.79,15.22,10276.37,3.83,21.16
TO,278,271,49407.99,177.73,12.77,6369.74,4.12,13.31
RO,246,234,46031.64,187.12,2.88,938.79,4.13,13.01
AM,147,142,22356.84,152.09,4.14,946.67,4.19,14.29
AC,81,77,15982.95,197.32,3.75,1524.99,4.05,16.05
AP,68,67,13474.3,198.15,4.48,655.8,4.18,7.35
RR,45,44,7739.44,171.99,12.2,1288.89,3.64,22.22
