category_name,orders,items,merchandise_value_brl,freight_value_brl,freight_to_merchandise_pct,average_review_score,merchandise_value_rank
health_beauty,8800,9634,1255695.13,181970.65,14.49,4.13,1
watches_gifts,5604,5970,1198185.21,100107.26,8.35,4.01,2
bed_bath_table,9399,11097,1035964.06,204422.07,19.73,3.88,3
sports_leisure,7673,8590,979740.92,167503.71,17.1,4.11,4
computers_accessories,6654,7781,904322.02,146619.56,16.21,3.94,5
furniture_decor,6425,8298,727465.05,172160.99,23.67,3.9,6
housewares,5847,6915,626825.8,145209.34,23.17,4.06,7
cool_stuff,3616,3779,620770.49,83315.75,13.42,4.14,8
auto,3872,4204,586585.73,92020.91,15.69,4.05,9
garden_tools,3505,4328,481009.94,98515.26,20.48,4.04,10
toys,3855,4083,479808.54,76974.75,16.04,4.16,11
baby,2868,3043,410312.2,68007.8,16.57,4.01,12
perfumery,3146,3402,396599.31,53981.16,13.61,4.17,13
telephony,4183,4527,322342.64,70963.38,22.01,3.94,14
office_furniture,1272,1690,273580.7,68492.32,25.04,3.48,15
stationery,2299,2505,229593.84,46558.34,20.28,4.19,16
computers,181,203,222963.13,9836.3,4.41,4.14,17
pet_shop,1706,1942,213766.63,39410.33,18.44,4.18,18
small_appliances,622,671,187907.26,15824.24,8.42,4.16,19
musical_instruments,620,669,187788.44,18232.88,9.71,4.17,20
