seller_id,seller_state,orders,merchandise_value_brl,late_delivery_rate_pct,average_review_score,operational_status
54965bbe3e4f07ae045b90b0b8541f52,PR,78,10961.3,28.21,2.9,review_priority
a49928bcdf77c55c6d6e05e09a9b4ca5,SP,98,8816.7,25.51,3.01,review_priority
2a1348e9addc1af5aaa619b1a3679d6b,MG,51,2793.1,25.49,3.12,review_priority
cac4c8e7b1ca6252d8f20b2fc1a2e4af,SP,75,4168.18,22.67,3.51,review_priority
ea566164622c6b439516ab18062c42cd,SP,50,10309.42,22.0,3.78,review_priority
6039e27294dc75811c0d8a39069f52c0,SP,64,13670.7,21.88,3.69,review_priority
712e6ed8aa4aa1fa65dab41fed5737e4,SC,79,39815.0,21.52,3.35,review_priority
1ca7077d890b907f89be8c954a02686a,SP,115,13341.57,20.87,2.32,review_priority
88460e8ebdecbfecb5f9601833981930,PR,247,31396.65,19.43,3.41,review_priority
602044f2c16190c2c6e45eb35c2e21cb,SP,50,3739.16,18.0,3.1,review_priority
beadbee30901a7f61d031b6b686095ad,SP,64,4373.98,25.0,3.91,monitor
06a2c3af7b3aee5d69171b0e14f0ee87,MA,392,36408.95,22.96,3.97,monitor
d13e50eaa47b4cbe9eb81465865d8cfc,SP,67,7155.05,20.9,4.82,monitor
2a261b5b644fa05f4f2700eb93544f2c,SP,51,5355.0,19.61,3.84,monitor
e5a3438891c0bfdb9394643f95273d8e,SP,223,7711.05,17.94,3.9,monitor
cd68562d3f44870c08922d380acae552,SP,124,18370.7,17.74,3.95,monitor
002100f778ceb8431b7a1020ff7ab48f,SP,51,1234.5,17.65,3.9,monitor
b17b679f4f5ce2e03ce6968c62648246,SP,53,3861.95,16.98,3.81,monitor
d20b021d3efdf267a402c402a48ea64b,SP,89,4060.18,16.85,3.72,monitor
891071be6ba827b591264c90c2ae8a63,SP,91,4147.29,16.48,3.8,monitor
8e6d7754bc7e0f22c96d255ebda59eba,SP,85,14497.27,16.47,3.58,monitor
8160255418d5aaa7dbdc9f4c64ebda44,SP,385,47017.69,16.36,3.93,monitor
6973a06f484aacf400ece213dbf3d946,SP,92,10666.59,16.3,3.65,monitor
abe42c5d03695b4257b5c6cbf4e6784e,RJ,50,17159.0,16.0,3.88,monitor
bbad7e518d7af88a0897397ffdca1979,SP,69,4462.22,15.94,3.13,monitor
adbc26658d6c7b4b6219f9d934598091,PR,88,11806.4,15.91,4.13,monitor
2c9e548be18521d1c43cde1c582c6de8,SP,126,6109.44,15.87,4.08,monitor
11bfa66332777660bd0640ee84d47006,SP,76,3925.87,15.79,3.92,monitor
0b35c634521043bf4b47e21547b99ab5,PR,51,13533.65,15.69,3.31,monitor
a6fe7de3d16f6149ffe280349a8535a0,SP,51,2904.8,15.69,3.92,monitor
dd7ddc04e1b6c2c614352b383efe2d36,SP,122,9178.51,15.57,3.83,monitor
f7ba60f8c3f99e7ee4042fdef03b70c4,SP,219,68395.0,15.53,4.21,monitor
431af27f296bc6519d890aa5a05fdb11,SP,117,13109.5,15.38,3.75,monitor
ba143b05f0110f0dc71ad71b4466ce92,SP,85,6110.58,15.29,4.38,monitor
8f2ce03f928b567e3d56181ae20ae952,SP,153,21712.9,15.03,4.08,monitor
05f51e13da97139648b8125c31e5f51b,MG,60,13769.01,15.0,4.07,monitor
a888faf2d1baececa6baf9c3d603ee1f,PR,54,17765.8,14.81,4.04,monitor
75d34ebb1bd0bd7dde40dd507b8169c3,BA,61,14928.29,14.75,3.79,monitor
23613d49c3ac2bd302259e55c06c050c,SP,70,4293.0,14.29,3.81,monitor
b561927807645834b59ef0d16ba55a24,SP,85,4501.99,14.12,4.34,monitor
50c9975695009e5e6473912e83a6d1da,MG,50,3964.4,14.0,3.88,monitor
c31eff8334d6b3047ed34bebd4d62c36,SP,122,13191.5,13.93,3.83,monitor
