customer_state,category_name,orders,merchandise_value_brl,category_rank
AC,sports_leisure,9,1677.46,1
AC,watches_gifts,4,1389.6,2
AC,health_beauty,6,1386.58,3
AL,health_beauty,63,12780.26,1
AL,watches_gifts,35,11683.27,2
AL,computers_accessories,34,7714.36,3
AM,health_beauty,15,2776.03,1
AM,garden_tools,5,1980.88,2
AM,computers_accessories,11,1960.74,3
AP,computers_accessories,7,2149.52,1
AP,watches_gifts,7,1639.8,2
AP,computers,1,1437.0,3
BA,health_beauty,328,51217.91,1
BA,watches_gifts,221,48820.59,2
BA,sports_leisure,256,38244.85,3
CE,health_beauty,156,32419.18,1
CE,watches_gifts,129,29285.24,2
CE,cool_stuff,48,12235.4,3
DF,watches_gifts,143,32730.37,1
DF,health_beauty,223,29862.82,2
DF,computers_accessories,135,24129.33,3
ES,watches_gifts,145,29461.0,1
ES,bed_bath_table,199,22678.65,2
ES,health_beauty,153,20214.49,3
GO,watches_gifts,142,32358.72,1
GO,health_beauty,208,28312.3,2
GO,bed_bath_table,192,22645.31,3
MA,health_beauty,83,12747.18,1
MA,computers_accessories,65,12581.43,2
MA,watches_gifts,57,9835.99,3
MG,health_beauty,1009,157433.32,1
MG,bed_bath_table,1127,129487.18,2
MG,watches_gifts,609,123473.54,3
MS,health_beauty,57,11231.58,1
MS,housewares,34,10861.74,2
MS,computers_accessories,55,9878.79,3
MT,health_beauty,84,15301.79,1
MT,watches_gifts,59,15006.91,2
MT,auto,50,10367.41,3
PA,health_beauty,101,23755.83,1
PA,watches_gifts,74,22559.82,2
PA,sports_leisure,76,12733.25,3
PB,health_beauty,77,16286.98,1
PB,watches_gifts,43,13388.88,2
PB,computers_accessories,41,7218.07,3
PE,health_beauty,226,41604.78,1
PE,watches_gifts,146,30994.78,2
PE,sports_leisure,134,20302.91,3
PI,health_beauty,50,10205.2,1
PI,auto,28,10134.68,2
PI,watches_gifts,38,7736.18,3
PR,watches_gifts,273,59859.04,1
PR,sports_leisure,426,58494.4,2
PR,health_beauty,381,54949.36,3
RJ,watches_gifts,815,183931.5,1
RJ,bed_bath_table,1391,147785.43,2
RJ,health_beauty,969,144912.93,3
RN,health_beauty,57,13886.47,1
RN,watches_gifts,47,10160.42,2
RN,telephony,22,5303.29,3
RO,health_beauty,23,7085.76,1
RO,watches_gifts,14,4553.27,2
RO,sports_leisure,16,3212.88,3
RR,sports_leisure,6,1350.6,1
RR,health_beauty,6,1050.61,2
RR,baby,2,988.87,3
RS,bed_bath_table,540,60270.74,1
RS,furniture_decor,444,54813.58,2
RS,sports_leisure,420,53596.32,3
SC,sports_leisure,314,43466.9,1
SC,health_beauty,284,39418.63,2
SC,computers_accessories,266,37607.23,3
SE,health_beauty,40,8883.66,1
SE,cool_stuff,17,5686.67,2
SE,furniture_decor,19,4231.39,3
SP,bed_bath_table,4405,477794.2,1
SP,health_beauty,3767,460474.09,2
SP,watches_gifts,2124,431119.29,3
TO,watches_gifts,27,5446.89,1
TO,sports_leisure,23,5144.32,2
TO,health_beauty,29,4798.99,3
