customer_state,orders,unique_customers,merchandise_value_brl,average_order_value_brl,late_delivery_pct,average_review_score
SP,41125,39747,5163867.22,125.57,5.89,4.2
RJ,12697,12241,1811623.42,142.68,13.47,3.88
MG,11496,11134,1573508.2,136.87,5.61,4.15
RS,5415,5233,742559.78,137.13,7.15,4.15
PR,4982,4824,676883.06,135.87,5.0,4.2
SC,3599,3501,518578.28,144.09,9.76,4.08
BA,3344,3244,507108.83,151.65,14.04,3.86
DF,2120,2057,300886.45,141.93,7.07,4.08
GO,1998,1934,287870.46,144.08,8.18,4.05
ES,2018,1950,273532.13,135.55,12.23,4.02
PE,1643,1600,261739.94,159.31,10.8,4.01
CE,1323,1301,226264.06,171.02,15.32,3.87
PA,969,944,178821.12,184.54,12.37,3.84
MT,902,872,156313.53,173.3,6.77,4.09
MA,736,715,119291.62,162.08,19.67,3.76
MS,708,687,116754.65,164.91,11.55,4.14
PB,531,516,114874.1,216.34,11.03,4.02
PI,490,478,86660.09,176.86,15.97,3.92
RN,482,471,83034.98,172.27,10.76,4.09
AL,411,399,80314.81,195.41,23.93,3.74
SE,345,338,58920.85,170.79,15.22,3.83
TO,278,271,49407.99,177.73,12.77,4.12
RO,246,234,46031.64,187.12,2.88,4.13
AM,147,142,22356.84,152.09,4.14,4.19
AC,81,77,15982.95,197.32,3.75,4.05
AP,68,67,13474.3,198.15,4.48,4.18
RR,45,44,7739.44,171.99,12.2,3.64
