section,dimension,metric,value,secondary_value,sort_order
Executive KPI,Commercial Orders,Commercial Orders,98199.0,,1
Executive KPI,Unique Customers,Unique Customers,94983.0,,2
Executive KPI,Merchandise Value (BRL),Merchandise Value (BRL),13494400.74,,3
Executive KPI,Average Order Value (BRL),Average Order Value (BRL),137.42,,4
Executive KPI,Repeat Customer %,Repeat Customer %,3.03,,5
Executive KPI,Top 10 Seller Share %,Top 10 Seller Share %,13.24,,6
Trend,2017-01,Monthly GMV,120098.27,,201701
Trend,2017-01,Monthly Orders,787.0,,201701
Trend,2017-01,Average Order Value,152.6,,201701
Trend,2017-02,Monthly GMV,244959.35,103.97,201702
Trend,2017-02,Monthly Orders,1718.0,103.97,201702
Trend,2017-02,Average Order Value,142.58,103.97,201702
Trend,2017-03,Monthly GMV,368341.32,50.37,201703
Trend,2017-03,Monthly Orders,2617.0,50.37,201703
Trend,2017-03,Average Order Value,140.75,50.37,201703
Trend,2017-04,Monthly GMV,353842.98,-3.94,201704
Trend,2017-04,Monthly Orders,2377.0,-3.94,201704
Trend,2017-04,Average Order Value,148.86,-3.94,201704
Trend,2017-05,Monthly GMV,503159.19,42.2,201705
Trend,2017-05,Monthly Orders,3640.0,42.2,201705
Trend,2017-05,Average Order Value,138.23,42.2,201705
Trend,2017-06,Monthly GMV,429916.61,-14.56,201706
Trend,2017-06,Monthly Orders,3205.0,-14.56,201706
Trend,2017-06,Average Order Value,134.14,-14.56,201706
Trend,2017-07,Monthly GMV,492287.3,14.51,201707
Trend,2017-07,Monthly Orders,3946.0,14.51,201707
Trend,2017-07,Average Order Value,124.76,14.51,201707
Trend,2017-08,Monthly GMV,568245.79,15.43,201708
Trend,2017-08,Monthly Orders,4272.0,15.43,201708
Trend,2017-08,Average Order Value,133.02,15.43,201708
Trend,2017-09,Monthly GMV,621415.91,9.36,201709
Trend,2017-09,Monthly Orders,4227.0,9.36,201709
Trend,2017-09,Average Order Value,147.01,9.36,201709
Trend,2017-10,Monthly GMV,660179.62,6.24,201710
Trend,2017-10,Monthly Orders,4547.0,6.24,201710
Trend,2017-10,Average Order Value,145.19,6.24,201710
Trend,2017-11,Monthly GMV,1003862.14,52.06,201711
Trend,2017-11,Monthly Orders,7421.0,52.06,201711
Trend,2017-11,Average Order Value,135.27,52.06,201711
Trend,2017-12,Monthly GMV,742183.79,-26.07,201712
Trend,2017-12,Monthly Orders,5618.0,-26.07,201712
Trend,2017-12,Average Order Value,132.11,-26.07,201712
Trend,2018-01,Monthly GMV,945456.29,27.39,201801
Trend,2018-01,Monthly Orders,7187.0,27.39,201801
Trend,2018-01,Average Order Value,131.55,27.39,201801
Trend,2018-02,Monthly GMV,837895.43,-11.38,201802
Trend,2018-02,Monthly Orders,6624.0,-11.38,201802
Trend,2018-02,Average Order Value,126.49,-11.38,201802
Trend,2018-03,Monthly GMV,981051.06,17.09,201803
Trend,2018-03,Monthly Orders,7168.0,17.09,201803
Trend,2018-03,Average Order Value,136.87,17.09,201803
Trend,2018-04,Monthly GMV,993592.98,1.28,201804
Trend,2018-04,Monthly Orders,6919.0,1.28,201804
Trend,2018-04,Average Order Value,143.6,1.28,201804
Trend,2018-05,Monthly GMV,992871.75,-0.07,201805
Trend,2018-05,Monthly Orders,6833.0,-0.07,201805
Trend,2018-05,Average Order Value,145.31,-0.07,201805
Trend,2018-06,Monthly GMV,863265.53,-13.05,201806
Trend,2018-06,Monthly Orders,6145.0,-13.05,201806
Trend,2018-06,Average Order Value,140.48,-13.05,201806
Trend,2018-07,Monthly GMV,878044.27,1.71,201807
Trend,2018-07,Monthly Orders,6233.0,1.71,201807
Trend,2018-07,Average Order Value,140.87,1.71,201807
Trend,2018-08,Monthly GMV,848860.1,-3.32,201808
Trend,2018-08,Monthly Orders,6421.0,-3.32,201808
Trend,2018-08,Average Order Value,132.2,-3.32,201808
Category,health_beauty,Category GMV,1255695.13,14.49,1
Category,health_beauty,Category Orders,8800.0,14.49,1
