carrier,n,mae,actual_mean_delay,predicted_mean_delay
G4,3163,33.04887833836602,27.493834966803668,17.67363081456136
AA,26178,27.63714748635328,20.413285965314387,17.27486379614261
OH,6024,27.312686505344875,19.437084993359893,17.608870438029424
F9,5418,25.89315491444649,18.157253599114064,17.64714572168468
OO,22346,25.810429982496483,17.211849995524926,17.396102218718877
MQ,8365,23.574309257458662,14.117393903167962,17.18141080818509
UA,21874,22.44350973743877,14.223278778458443,17.11586931399267
B6,5956,22.266446513492603,13.041302887844191,17.81576271009074
DL,27120,21.465724095625355,12.13226401179941,17.166743821146955
YX,9428,21.28110913185572,10.772698345354264,17.21996682328025
WN,35537,20.761725973247255,15.702310268171201,17.047236075571828
AS,8473,18.264391881576532,9.537235925882214,17.1541207027354
