carrier,n,prevalence,mean_score,alert_rate
G4,3163,0.28327537148276954,0.2711304366044801,0.2617767941827379
WN,35537,0.2743900723189915,0.23567060676193916,0.210484846779413
AA,26178,0.23726029490411796,0.2592464641371339,0.2424172969669188
OH,6024,0.22858565737051792,0.29087672365997513,0.3183930942895086
F9,5418,0.22812846068660023,0.26836198581101545,0.25359911406423036
UA,21874,0.20339215506994607,0.2002561066712024,0.09664441803053854
OO,22346,0.20272084489394074,0.22893461080927274,0.17179808466839702
B6,5956,0.18854936198791136,0.33096078384074645,0.43636668905305576
MQ,8365,0.1762104004781829,0.21931827250215333,0.14991034070531978
DL,27120,0.17518436578171093,0.2031933054499508,0.1010693215339233
AS,8473,0.1730201817538062,0.20606627486656784,0.09052283724772808
YX,9428,0.15284259652100127,0.27167927724209934,0.2634705133644463
