slice,value,rows,response_rate,predicted_probability,accuracy
age_band,<30,1411,0.38837703756201275,0.8111662,0.5605953224663359
age_band,30s,2077,0.3625421280693308,0.7944328,0.5772749157438614
age_band,40s,981,0.34964322120285424,0.77271295,0.6432212028542303
age_band,50s,864,0.39699074074074076,0.7831395,0.5775462962962963
age_band,60+,844,0.4597156398104265,0.8211462,0.5699052132701422
contact,cellular,5402,0.4020733061828952,0.7935305,0.6044057756386524
contact,telephone,775,0.26193548387096777,0.82019615,0.4335483870967742
job,admin.,1952,0.39036885245901637,0.80250657,0.5640368852459017
job,blue-collar,546,0.28205128205128205,0.765242,0.6868131868131868
job,entrepreneur,125,0.32,0.75229084,0.592
job,housemaid,153,0.41830065359477125,0.7701364,0.6078431372549019
job,management,428,0.37850467289719625,0.78518593,0.6051401869158879
job,retired,712,0.449438202247191,0.83268774,0.5280898876404494
job,self-employed,203,0.31527093596059114,0.8009109,0.5073891625615764
job,services,372,0.3225806451612903,0.7643696,0.6532258064516129
job,student,479,0.4405010438413361,0.82571054,0.5824634655532359
job,technician,903,0.3964562569213732,0.7921945,0.583610188261351
job,unemployed,242,0.4049586776859504,0.7757436,0.5991735537190083
job,unknown,62,0.3548387096774194,0.8332447,0.41935483870967744
